date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:52:02	69433/69433	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2004%20Dec%202024%2014:52:01%20GMT	https://api-report1.aoi-gadget.icu/	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/index.html	(from )
23:52:02	120/120	U-----	200	untouched ('OK')	text/plain	date:Mon,%2002%20Dec%202024%2015:52:46%20GMT	https://api-report1.aoi-gadget.icu/robots.txt		(from )
23:52:02	25987/25987	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Dec%202024%2014:52:01%20GMT	https://api-report1.aoi-gadget.icu/wp-content/litespeed/css/46a2d25649b9f32ca6ed2eb4a3bdd247.css?ver=dd247	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-content/litespeed/css/46a2d25649b9f32ca6ed2eb4a3bdd2471e70.css	(from https://api-report1.aoi-gadget.icu/)
23:52:02	6207/6207	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Dec%202024%2007:21:50%20GMT	https://api-report1.aoi-gadget.icu/wp-content/plugins/useful-blocks/assets/img/a_person.png	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-content/plugins/useful-blocks/assets/img/a_person.png	(from https://api-report1.aoi-gadget.icu/)
23:52:03	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2014:52:03%20GMT	http://www.googletagmanager.com/	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/www.googletagmanager.com/index.html	(from https://api-report1.aoi-gadget.icu/)
23:52:03	472/472	---MC-	200	added ('OK')	text/css	date:Wed,%2004%20Dec%202024%2014:52:03%20GMT	https://fonts.googleapis.com/css?family=Noto+Sans+JP:400,700&display=swap	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/fonts.googleapis.com/css9e89.css	(from https://api-report1.aoi-gadget.icu/)
23:52:03	1827/1827	U--M-Z	200	updated ('OK')	application/rss+xml	date:Wed,%2004%20Dec%202024%2014:50:04%20GMT	https://api-report1.aoi-gadget.icu/feed/	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/feed/index.html	(from https://api-report1.aoi-gadget.icu/)
23:52:04	6161/6161	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2004%20Dec%202024%2014:52:01%20GMT	https://api-report1.aoi-gadget.icu/wp-content/litespeed/js/8e56e1c3f906990ea9e96ac3637fb742.js?ver=fb742	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-content/litespeed/js/8e56e1c3f906990ea9e96ac3637fb74268bb.js	(from https://api-report1.aoi-gadget.icu/)
23:52:04	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2014:52:04%20GMT	http://www.googletagmanager.com/robots.txt		(from https://api-report1.aoi-gadget.icu/)
23:52:05	53114/53114	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Dec%202024%2014:52:04%20GMT	https://api-report1.aoi-gadget.icu/sample-page/	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/sample-page/index.html	(from https://api-report1.aoi-gadget.icu/)
23:52:05	19224/19224	U--MC-	200	updated ('OK')	application/json	date:Wed,%2004%20Dec%202024%2014:52:04%20GMT	https://api-report1.aoi-gadget.icu/wp-json/wp/v2/pages/36	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-json/wp/v2/pages/36.json	(from https://api-report1.aoi-gadget.icu/)
23:52:05	372037/372037	U--MC-	200	updated ('OK')	application/json	date:Wed,%2004%20Dec%202024%2014:52:04%20GMT	https://api-report1.aoi-gadget.icu/wp-json/	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-json/index.html	(from https://api-report1.aoi-gadget.icu/)
23:52:05	1903/1903	U--M-Z	200	updated ('OK')	application/rss+xml	date:Wed,%2004%20Dec%202024%2014:50:04%20GMT	https://api-report1.aoi-gadget.icu/comments/feed/	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/comments/feed/index.html	(from https://api-report1.aoi-gadget.icu/)
